retailer,product_id,name,brand,size_raw,price,was_price,unit_price,unit_measure,is_on_special,result_rank,search_term,category,snapshot_date,fetched_at
coles,210604,Western Star Dairy Butter,Western Star,500g,9.5,,1.9,100g,False,3,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,3056920,Nuttelex Buttery Spread,Nuttelex,500g,4.5,5.7,0.9,100g,False,4,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,4844820,Nuttelex Spread Light Buttery,Nuttelex,500g,4.5,5.7,0.9,100g,False,5,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,5384679,Nuttelex Olive Spread,Nuttelex,500g,5,6.3,1,100g,False,6,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,209161,Nuttelex Original Spread,Nuttelex,500g,4.5,5.7,0.9,100g,False,7,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,1155920,Nuttelex Spread Cholesterol Lowering,Nuttelex,500g,2.97,4.95,0.59,100g,True,8,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,4514859,Nuttelex Buttery,Nuttelex,1kg,9.9,,0.99,100g,False,9,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,7075278,Westgold Salted Butter,Westgold,400g,8,,2,100g,False,10,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,7085056,Westgold Unsalted Butter,Westgold,400g,8,,2,100g,False,11,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,7174906,Lurpak Butter Unsalted,Lurpak,250g,7.25,,2.9,100g,False,12,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,313505,Coles Salted Butter,Coles,250g,4.8,,1.92,100g,False,13,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,3169835,Coles Simply Salted Butter,Coles Simply,250g,4.5,,1.8,100g,False,14,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,3169879,Coles Simply Unsalted Butter,Coles Simply,250g,4.5,,1.8,100g,False,15,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,3519416,Coles Organic Salted Butter,Coles Organic,250g,5.2,,2.08,100g,False,16,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,7739731,Western Star Dairy Butter Unsalted,Western Star,250g,5.3,5.9,2.12,100g,False,17,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,210590,Western Star Dairy Butter Pat,Western Star,250g,5.3,5.9,2.12,100g,False,18,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,6801964,Tru-Blue Garlic Butter Spread,Tru-Blue,150g,3.35,,2.23,100g,False,19,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,5394129,Lurpak Butter Slightly Salted,Lurpak,250g,7.25,,2.9,100g,False,20,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,1778617,Devondale Regular Pat Butter,Devondale,250g,5.8,,2.32,100g,False,21,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
